shopId,shopName,price,code
S1000200574,Glamour Hair Studio,45.25,EPS112DXD
S1000200580,Posh Nail Bar,23.99,EPS118DXD
S1000200569,The Gentlemen’s Barbershop,28.50,EPS107DXD
S1000200583,Golden Touch Salon,26.40,EPS121DXD
S1000200568,Hair & Style Studio,35.99,EPS106DXD
S1000200579,Hair Haven,29.50,EPS117DXD
S1000200562,Beauty Hair Salon,25.99,EPS100DXD
S1000200586,Prime Nail Studio,24.75,EPS124DXD
S1000200573,Chic Cuts & Colors,38.99,EPS111DXD
S1000200591,Deluxe Spa & Salon,50.00,EPS129DXD
S1000200565,Spa & Wellness,40.75,EPS103DXD
S1000200585,The Beauty Spot,32.90,EPS123DXD
S1000200572,Polished Perfection,27.40,EPS110DXD
S1000200584,Elegance Hair Design,37.25,EPS122DXD
S1000200563,Nail Salon,18.50,EPS101DXD
S1000200588,Heavenly Touch Salon,39.50,EPS126DXD
S1000200567,Glow Nail Studio,22.30,EPS105DXD
S1000200566,Luxury Beauty Lounge,55.00,EPS104DXD
S1000200582,Prestige Beauty Lounge,52.30,EPS120DXD
S1000200581,Serenity Hair & Spa,48.20,EPS119DXD
S1000200564,Barber Shop,15.00,EPS102DXD
S1000200577,Velvet Touch Spa,42.80,EPS115DXD
S1000200576,Classic Cuts,30.50,EPS114DXD
S1000200587,Dazzle Hair & Beauty,41.99,EPS125DXD
S1000200589,Blissful Beauty Lounge,46.75,EPS127DXD
S1000200568,Hair & Style Studio,35.99,EPS106DXD
S1000200571,Urban Hair Loft,33.25,EPS109DXD
S1000200569,The Gentlemen’s Barbershop,28.50,EPS107DXD
S1000200570,Elite Nail Spa,20.99,EPS108DXD
S1000200590,The Hair Gallery,31.99,EPS128DXD